bankName,totalAssets,totalLoans,loansCI_US,loansCI_foreign,cdsSold,cdsBought,year,quarter,totalCI,cdsNetBuy,date,mon,leverage,loansCI_to_totalAssets,loansCI_to_totalLoans,netCDS_to_loansCI
ZIONS BANCORPORATION,43313501,31162880,7241095,585,0,0,2006,1,7241680,0,2006-03-01,3,0.719472665116588,0.1671787048569452,0.23236283039308306,0
"BANK OF NEW YORK COMPANY, INC., THE",10371e4,40876000,6847000,550000,179e3,1023e3,2006,1,7397000,844e3,2006-03-01,3,0.39413749879471605,0.06602063446147913,0.16750660534298856,0.12326566379436249
JPMORGAN CHASE & CO.,1273282e3,461110000,78649000,23751000,139356e4,1396244e3,2006,1,102400000,2684e3,2006-03-01,3,0.3621428717283367,0.061768720519099464,0.17056450738435514,0.03412630802680263
"COMMERCE BANCSHARES, INC.",13770584,9128162,2006647,0,0,0,2006,1,2006647,0,2006-03-01,3,0.6628739928531716,0.14571981841873954,0.21983034481640445,0
KEYCORP,93076162,70610455,20365264,116442,3622206,3703706,2006,1,20481706,81500,2006-03-01,3,0.7586309263589962,0.21880214613920157,0.28841711896630606,0.004001912275725962
MELLON FINANCIAL CORPORATION,38055875,6498784,1659858,206570,0,574494,2006,1,1866428,574494,2006-03-01,3,0.17076953295647518,0.04361634044677727,0.25541055065070634,0.3461103299197883
NATIONAL CITY CORPORATION,140243362,114060735,22535301,409570,896827,454105,2006,1,22944871,-442722,2006-03-01,3,0.8133057663007252,0.16068711330522722,0.1975728194281757,-0.01964571052323641
"PNC FINANCIAL SERVICES GROUP, INC., THE",93308063,51841961,15408709,109466,242167,1399425,2006,1,15518175,1157258,2006-03-01,3,0.5556000128306168,0.16513802242363557,0.2972246555256658,0.07510415051643847
MERCANTILE BANKSHARES CORPORATION,16783227,11715709,2170196,0,0,0,2006,1,2170196,0,2006-03-01,3,0.6980605696389616,0.12930743295076685,0.18523812771382422,0
WACHOVIA CORPORATION,541842e3,294235000,56279000,5674000,93997e3,101024e3,2006,1,61953000,7027e3,2006-03-01,3,0.5430273031621764,0.10386607165926598,0.19127228235933863,0.1248600721405853
BANK OF AMERICA CORPORATION,1375923314,639537764,99060187,25486025,397510022,371471807,2006,1,124546212,-26038215,2006-03-01,3,0.4648062559102767,0.0719954273556266,0.15489341298694598,-0.2628524716998566
BB&T CORPORATION,110033689,76279282,8217824,0,0,0,2006,1,8217824,0,2006-03-01,3,0.6932357052938578,0.07468461772648556,0.10773336854429227,0
HANCOCK HOLDING COMPANY,6290626,2971171,323779,0,0,0,2006,1,323779,0,2006-03-01,3,0.4723172224831042,0.051470076269039045,0.10897353265766259,0
STATE STREET CORPORATION,104186982,8942292,6437,15017,0,95e3,2006,1,21454,95e3,2006-03-01,3,0.08582926415893302,6.17831506051303e-5,7.198378223390603e-4,14.75842783905546
